機能ID,大分類,中分類,機能名,機能概要,対象ユーザー,実装タイプ,主なI/O,,処理タイプ,規模,Phase,,,補足
FN-023,基本求人サイト機能,ユーザー管理機能,通知センター／配信設定,メール・プッシュ等の配信種別と頻度をユーザーが選べる。,求職者,画面＋API,配信設定,保存結果,同期,M,〇,,,オプトイン/アウト履歴の保持／法対応（オプトアウト）
FN-024,基本求人サイト機能,UI/UX・デバイス対応,アクセシビリティ目標（WCAG 2.1 AA 相当）,コントラスト／キーボード操作／代替テキスト等の基準を目標として遵守。,求職者,画面,なし,AA相当のUI,同期,S,〇,,,アクセシビリティ監査チェックリスト／自動テスト導入
FN-025,基本求人サイト機能,UI/UX・デバイス対応,クッキー／同意管理（CMP）,計測・レコメンド・広告等の同意取得と管理を行う。,求職者,画面＋API,同意選択,同意記録,同期,M,〇,,,同意履歴の保存期間／再同意のトリガー条件
FN-026,基本求人サイト機能,UI/UX・デバイス対応,モバイル最適化,スマートフォン向けレスポンシブデザイン,求職者,画面,なし,表示最適化,同期,S,〇,,,LCP/CLS等のウェブ指標目標を設定
FN-027,基本求人サイト機能,UI/UX・デバイス対応,多言語対応,外国人労働者向けの多言語表示機能,求職者,画面,言語,多言語UI,同期,S,,,〇,i18n方針／翻訳管理（辞書/用語集）／右左書き対応は要件次第
FN-028,基本求人サイト機能,コミュニティ機能,口コミ・評価機能,職場の雰囲気や働きやすさに関する評価,求職者,画面＋API,レビュー,公開・通報,同期,M,〇,,,モデレーション・通報フロー／違反報告の一次対応
FN-029,基本求人サイト機能,コミュニティ機能,地域情報表示,西院エリアの交通情報、地域イベント情報,求職者,画面＋API,エリア,地域記事,同期,M,,〇,,地域LP化／構造化データ（SEO）／更新頻度の目安
FN-030,基本求人サイト機能,不正／品質対策,ボット対策・重複求人マージ,reCAPTCHA等でボット応募を防止。同一求人の重複掲載を検知・統合。,求職者,画面＋API,入力/求人データ,バリデーション,同期,M,〇,,,reCAPTCHA／重複判定ルール／例外ハンドリング
FN-031,AI活用機能,AI検索・マッチング機能,AIマッチング,ユーザーの経歴・希望に基づく求人推奨,内部サービス,API＋バッチ,user/jobプロファイル,スコアtopN,スケジュール（毎日）,M,,,〇,夜間スコア再計算／簡易な説明可能性（理由表示）
FN-032,AI活用機能,AI検索・マッチング機能,パーソナライズ推奨,閲覧履歴学習による最適化された求人提案,求職者,API＋バッチ,行動履歴,推奨リスト,スケジュール（毎日）,M,,〇,,ナイトリービルド／オプトアウト対応／偏り監視
FN-033,AI活用機能,AI検索・マッチング機能,自然言語検索,「残業少なめ」「駅近」等の曖昧な条件での検索対応,求職者,画面＋API,クエリ,求人一覧,同期,M,,〇,,曖昧検索→通常検索へのフォールバック／応答遅延ガード
FN-034,AI活用機能,AI検索・マッチング機能,類似求人提案,閲覧中の求人に類似した案件の自動提案,内部サービス,API,job_id,類似求人topN,同期,M,,〇,,呼び出し元：求人詳細・検索結果・お気に入り・応募完了・アラート補完
FN-035,AI活用機能,AI応募支援機能,スキルアセスメント,AIによる適性診断・スキル評価,求職者,画面＋API,回答,スキル評価,同期,M,,,〇,結果保存・ダッシュボード反映／再受検の間隔設定
FN-036,AI活用機能,AI応募支援機能,応募者スクリーニング（軽量）,必須資格・キーワードの自動チェック（理由表示の簡易版）。,システム運用者,画面＋API,応募情報,必須チェック結果,同期,M,,〇,,必須条件の自動チェック／理由の簡易表示／将来スコアリング高度化
FN-037,AI活用機能,AI応募支援機能,画像解析機能,履歴書の自動読み取り・データ化,システム運用者,画面＋API,画像,構造化データ,同期,M,,,〇,OCR精度の検証／手修正UI（後続）／画像保管とマスキング
FN-038,AI活用機能,AI対話・相談機能,AIチャットボット,24時間対応の問い合わせ対応,求職者,画面＋API,問い合わせ,回答,同期,M,,,〇,カバレッジ外は有人対応へエスカレーション／回答品質の継続改善
FN-039,AI活用機能,AI対話・相談機能,FAQ自動応答,よくある質問への自動回答,求職者,画面＋API,質問,回答,同期,M,,〇,,FAQソース管理・更新フロー／ヒット率チューニング
FN-040,AI活用機能,AI運用支援機能,SEO最適化,AIによる検索エンジン最適化支援,システム運用者,API＋バッチ,サイト構造,サイトマップ/メタ,スケジュール（毎日）,M,,〇,,サイトマップ・メタ自動生成／再生成スケジュールと失敗リトライ
FN-041,AI活用機能,AI運用支援機能,コンテンツ自動生成,求人票の品質向上・標準化支援,システム運用者,画面＋API＋バッチ,雛形/既存データ,下書き,非同期（バッチ/キュー）,M,,〇,,承認フロー・役割権限／監査ログ／テンプレ管理
FN-042,AI活用機能,AI運用支援機能,データ分析,ユーザー行動分析とサイト改善提案,システム運用者,画面＋API＋バッチ,ログ/イベント,KPI,スケジュール（毎日）,L,,〇,,KPI定義の明文化／更新遅延SLA／ドリルダウン導線
FN-043,AI活用機能,AI運用支援機能,フィードバック機能,検索結果や提案に対して簡単に評価を送信。改善学習に利用。,システム運用者,画面＋API,評価（👍/👎）,集計,同期,M,,〇,,ダッシュボード連携／ボット・荒らし対策／低評価理由の収集
FN-044,AI活用機能,AI運用支援機能,予測分析,求人の充足予測、応募者の内定確率予測,システム運用者,画面＋API＋バッチ,過去データ,予測,非同期（バッチ/キュー）,L,,,〇,モデル更新サイクル／精度モニタリング／ドリフト検知
FN-045,既存システム連携機能,データ連携機能,求人情報同期,既存の求人管理システムからの自動データ取得,システム運用者／システム,API＋バッチ,既存DB,中継DB更新,スケジュール（毎日）,M,〇,,,夜間毎日／差分同期／重複・欠損の検知とアラート／中継DB
FN-046,既存システム連携機能,外部媒体連携機能,SNS連携,Facebook、Instagram等への求人情報投稿,システム運用者／システム,API＋バッチ,求人データ,SNS投稿,スケジュール（毎日）,M,,〇,,レート制御／失敗時再送キュー／承認フロー（下書き→投稿）
FN-047,既存システム連携機能,外部媒体連携機能,他媒体連携,Indeed等への自動求人投稿機能,システム運用者／システム,API＋バッチ,求人データ,媒体投稿,スケジュール（毎日）,M,,,〇,JobSyncAPI利用／配信ルール・審査要件の管理／失敗リトライ
